suite,panel,seed,window,net_pct,sharpe,mdd_pct
8isl,set1,42,2020,-36.9805872102508,-1.4593624422897526,51.26472890914528
8isl,set1,42,2021,14.71138872265535,1.0469137824629569,6.9828804604102475
8isl,set1,42,2022,21.711347775217018,1.3529913634428024,9.359361985029956
8isl,set1,42,2023,21.441374338748854,1.5079617785788895,7.019875006048543
8isl,set1,42,2024,12.272721835180311,0.838136139774321,7.5616080823285285
8isl,set1,42,2022-24,60.37380323531277,1.336587729510065,9.359361985029956
8isl,set1,42,2020-24,35.02938077614206,0.4049674711859103,51.26472890914528
8isl,set1,43,2020,7.832299567002246,0.31575434489312765,27.982354919663393
8isl,set1,43,2021,13.996304748417026,1.0759870337393647,7.133385474462413
8isl,set1,43,2022,9.070016184317934,0.6719019044005845,8.269363873015168
8isl,set1,43,2023,16.042403659195482,1.324520262868378,6.717083081028694
8isl,set1,43,2024,4.4112013235669405,0.35642042263147583,10.05700962110084
8isl,set1,43,2022-24,31.29768643611783,0.7971915781294507,8.826516128456774
8isl,set1,43,2020-24,63.63765390833943,0.777717795674393,27.982354919663393
8isl,set1,44,2020,-8.275535558606549,-0.30354838464137424,33.57566642299169
8isl,set1,44,2021,6.409729225355351,0.4383528323611069,9.475124684593556
8isl,set1,44,2022,16.80418922638039,1.0682166077174733,10.332885449632931
8isl,set1,44,2023,-0.819268511123845,-0.05388688194339256,12.868028482650356
8isl,set1,44,2024,-14.767096061640341,-0.9892419819112466,20.305779243240604
8isl,set1,44,2022-24,4.2612477715970245,0.09258636501713935,17.68415355252715
8isl,set1,44,2020-24,3.5994930432399106,0.039543771776542516,33.57566642299169
8isl,set2,42,2020,11.445647869367418,0.3119801257243183,31.54050492479411
8isl,set2,42,2021,17.503229952750484,1.0806340938645442,7.790940867873826
8isl,set2,42,2022,-2.1156770471719524,-0.13720156167515452,18.149290453255244
8isl,set2,42,2023,33.65049778542895,2.282355906867685,6.570669906816935
8isl,set2,42,2024,-4.300524345070707,-0.38170430522159166,7.735134857252832
8isl,set2,42,2022-24,24.909784301015613,0.6007136835989139,18.149290453255244
8isl,set2,42,2020-24,54.617662832615956,0.5253673471006627,31.54050492479411
8isl,set2,43,2020,5.190949618592225,0.20007192394127898,19.60692778513878
8isl,set2,43,2021,-11.438648610516239,-0.8147029322426153,13.731176623131288
8isl,set2,43,2022,16.55659292951914,1.0299437419512159,11.712376504675257
8isl,set2,43,2023,24.774770506537134,1.852502198204885,6.674204788787487
8isl,set2,43,2024,26.341875269211425,2.3637146955353816,4.4730704558590215
8isl,set2,43,2022-24,65.2550029504489,1.5880014656009163,11.712376504675257
8isl,set2,43,2020-24,52.91378894317174,0.627360003357066,36.91407084485556
8isl,set2,44,2020,38.59235428651691,1.4413660623879962,19.082963970925782
8isl,set2,44,2021,19.506596403970228,1.4746081888728473,10.000285519737178
8isl,set2,44,2022,8.807520780556978,0.5157702543505227,20.24544273326492
8isl,set2,44,2023,7.2914343230162775,0.5142762678916568,9.11293401528984
8isl,set2,44,2024,29.203453630164056,2.4265948054988806,6.710588448688755
8isl,set2,44,2022-24,41.807264697262056,0.9617984180134135,20.24544273326492
8isl,set2,44,2020-24,98.6161851419122,1.1257699747967385,19.082963970925782
8isl,set3,42,2020,23.173287378580916,0.9891074416802059,19.84694777312789
8isl,set3,42,2021,13.259914430901846,1.0066534110976992,7.630873761901498
8isl,set3,42,2022,-0.44419326257154185,-0.02658032930832199,19.69816699815824
8isl,set3,42,2023,12.337300195410936,0.9128935268530319,11.522224040642145
8isl,set3,42,2024,-8.761221775710029,-0.5961443827847724,9.194754198797584
8isl,set3,42,2022-24,13.826618919230363,0.2986250380481487,19.69816699815824
8isl,set3,42,2020-24,55.62496785591272,0.6438821340739613,19.84694777312789
8isl,set3,43,2020,35.045893608996195,1.3796841535957947,14.516538292712855
8isl,set3,43,2021,0.8763999610781165,0.05650841204622296,16.65701701930104
8isl,set3,43,2022,8.583109358513973,0.6091405268215909,9.675722503775521
8isl,set3,43,2023,9.49871230474403,0.7452566176459544,6.849295235122084
8isl,set3,43,2024,-13.975486026519372,-0.8848280346207548,16.334920221845096
8isl,set3,43,2022-24,6.466691581899962,0.15153502143955383,12.1323932040636
8isl,set3,43,2020-24,29.85874986305736,0.3502359025585192,20.329246896143466
8isl,set3,44,2020,20.190553199594298,0.722636534351157,27.562864191144133
8isl,set3,44,2021,5.968324729067503,0.34548707937000067,15.827513665719803
