islands,panel,seed,net_pct,sharpe,mdd_pct
10,set1,42,2.230675867849283,0.06797056210736338,16.98319592915094
10,set1,43,18.30643703252824,0.5156624585117087,14.124262862963327
10,set1,44,22.08231547579397,0.6429127194195993,8.581999112043558
10,set1,45,-2.161940338653111,-0.058893943223828,13.46148641180499
10,set1,46,16.453411386085868,0.39412417868882454,15.855168141352644
10,set1,47,19.871927149245984,0.5250637767295361,10.575552803643992
10,set1,48,13.57148684539923,0.4550159416945586,9.888773994830924
10,set1,49,25.99181861215889,0.7201555610355702,10.117979285564504
10,set1,50,9.921600290590451,0.26051146324409713,12.51064872549675
10,set1,51,17.992996429690354,0.5575592107005148,10.622823523965339
10,set2,42,24.377777862636858,1.0441034161978833,8.047812950559429
10,set2,43,45.72941285622464,1.5118566240006677,14.72297232446231
10,set2,44,19.955486653700202,0.7388819695524222,11.237265353242305
10,set2,45,31.67488266540043,1.2819848838515604,11.9551221005303
10,set2,46,22.385158360713486,0.8381665614866028,11.960451456874114
10,set2,47,22.537713005329213,0.8488017218758247,15.679185505189547
10,set2,48,34.65463229691944,1.3577501241424963,9.738989117334818
10,set2,49,34.764973515107,1.1116069685366676,15.371847534708975
10,set2,50,27.080485387620545,0.942945046911409,9.129183811856986
10,set2,51,26.00834903645265,0.9558311249215514,15.895868124341789
10,set3,42,12.0624174631039,0.3813279989630375,9.478595508736158
10,set3,43,18.71268967695362,0.5179461837153898,15.95180250094635
10,set3,44,14.281836615346084,0.41112103593132704,16.048121306629934
10,set3,45,3.3696180288237545,0.09288191156905268,14.288275815745225
10,set3,46,6.388261827674086,0.1821807662539145,15.909614821140606
10,set3,47,0.7599379568480293,0.022986382252527023,15.994608067291871
10,set3,48,12.117885045408173,0.2815316655377253,20.884112944826033
10,set3,49,16.859506527304326,0.5368358130768168,11.484174502999506
10,set3,50,20.959792998939577,0.49670195687363144,16.223365810117922
10,set3,51,8.755443478998847,0.21952426904716885,25.17257473594814
10,set4,42,11.894182702546608,0.424350557282902,16.72698524225243
10,set4,43,14.797449207759698,0.5111846912374512,13.975657400610645
10,set4,44,-10.173349692870076,-0.42692347432943395,21.472584360090085
10,set4,45,41.606190726355244,1.8416322547183852,5.275808281606763
10,set4,46,27.39600320124096,1.094824894335008,7.903713067408194
10,set4,47,44.43448108591825,1.6033008765297652,7.370725481631331
10,set4,48,39.45373956070048,1.5022895574213833,7.132522930060574
10,set4,49,39.46904610989118,1.2559643767658095,8.265136282910248
