arm,panel,seed,window,book,net_pct,sharpe,mdd_pct,turnover,cost_pct
onenas_8isl,set1,42,2022-24,sleeves_reg,29.226204057079176,0.8250707530003915,10.187763142659252,0.12282234139343232,2.8748160428786864
onenas_8isl,set1,42,2022-24,banded25,60.37380323531277,1.336587729510065,9.359361985029956,0.0943521796174179,2.430012703923909
onenas_8isl,set1,42,2020-24,sleeves_reg,12.644238139197975,0.18063148616742702,44.82040490026658,0.12172935380401677,5.685791526244317
onenas_8isl,set1,42,2020-24,banded25,35.02938077614206,0.4049674711859103,51.26472890914528,0.09151495586255166,4.703576088459894
onenas_8isl,set1,43,2022-24,sleeves_reg,21.513037009785858,0.6690308085914215,8.32707444975157,0.10564394606739551,2.4343027206992636
onenas_8isl,set1,43,2022-24,banded25,31.29768643611783,0.7971915781294507,8.826516128456774,0.05625136557925215,1.280307970950643
onenas_8isl,set1,43,2020-24,sleeves_reg,42.31913707124807,0.6524506254430926,31.127330098633866,0.10741659724270677,4.929335845128287
onenas_8isl,set1,43,2020-24,banded25,63.63765390833943,0.777717795674393,27.982354919663393,0.06187010864844716,3.0739049696759895
onenas_8isl,set1,44,2022-24,sleeves_reg,8.873065154774627,0.24849021302052765,12.006916801631787,0.13530090255225488,3.084958030875945
onenas_8isl,set1,44,2022-24,banded25,4.2612477715970245,0.09258636501713935,17.68415355252715,0.13507844010016049,2.9480155080819186
onenas_8isl,set1,44,2020-24,sleeves_reg,10.14842568368369,0.1422574573273912,37.3448257143728,0.13381600155061682,6.104492474105402
onenas_8isl,set1,44,2020-24,banded25,3.5994930432399106,0.039543771776542516,33.57566642299169,0.1492663444790583,7.204914241880877
onenas_8isl,set2,42,2022-24,sleeves_reg,30.26820364721654,1.112860494902052,10.83393480954315,0.1368925479518591,3.698167111894565
onenas_8isl,set2,42,2022-24,banded25,24.909784301015613,0.6007136835989139,18.149290453255244,0.23175768788438397,7.483938855986263
onenas_8isl,set2,42,2020-24,sleeves_reg,61.97835697297158,0.7840841740212972,24.33918905729672,0.1359713460186585,6.971698763945992
onenas_8isl,set2,42,2020-24,banded25,54.617662832615956,0.5253673471006627,31.54050492479411,0.20607416095675465,11.978339176627111
onenas_8isl,set2,43,2022-24,sleeves_reg,28.437355904781896,0.9627666417047279,12.024898341662348,0.13294029763743845,3.4377100037801736
onenas_8isl,set2,43,2022-24,banded25,65.2550029504489,1.5880014656009163,11.712376504675257,0.15288626459678376,4.15528868137386
onenas_8isl,set2,43,2020-24,sleeves_reg,40.195272991554525,0.6889347227862428,15.04115161180227,0.13535676807130162,6.806623956723768
onenas_8isl,set2,43,2020-24,banded25,52.91378894317174,0.627360003357066,36.91407084485556,0.16437736589483806,8.906360382624197
onenas_8isl,set2,44,2022-24,sleeves_reg,34.85203636154537,1.15695617307268,13.248939379388416,0.13432279080138593,3.4713096477998233
onenas_8isl,set2,44,2022-24,banded25,41.807264697262056,0.9617984180134135,20.24544273326492,0.14548830358899695,4.153866289102743
onenas_8isl,set2,44,2020-24,sleeves_reg,64.00446722187415,0.9428459057027718,25.787960659549846,0.13488402858341597,6.690114531746097
onenas_8isl,set2,44,2020-24,banded25,98.6161851419122,1.1257699747967385,19.082963970925782,0.15305066265625059,8.208601899704794
onenas_8isl,set3,42,2022-24,sleeves_reg,16.796217194276885,0.4589096129481051,18.958713389563375,0.10655432058240497,2.532381415944084
onenas_8isl,set3,42,2022-24,banded25,13.826618919230363,0.2986250380481487,19.69816699815824,0.052396677595415574,1.2708695785236472
onenas_8isl,set3,42,2020-24,sleeves_reg,50.17172159292947,0.7259582340656666,19.248619634796878,0.10955191764730164,5.1260769620405755
onenas_8isl,set3,42,2020-24,banded25,55.62496785591272,0.6438821340739613,19.84694777312789,0.06048738153480092,3.1081419354926134
onenas_8isl,set3,43,2022-24,sleeves_reg,11.276238304090711,0.3484228558538572,9.574916354493803,0.1431143041032506,3.3938201494881937
onenas_8isl,set3,43,2022-24,banded25,6.466691581899962,0.15153502143955383,12.1323932040636,0.11359730618579608,2.7455681280761923
onenas_8isl,set3,43,2020-24,sleeves_reg,28.268446710117175,0.413712082417294,15.942078213974394,0.14156776635765045,6.427128680186479
onenas_8isl,set3,43,2020-24,banded25,29.85874986305736,0.3502359025585192,20.329246896143466,0.10653597558518245,4.82924773646885
onenas_8isl,set3,44,2022-24,sleeves_reg,17.01924971868758,0.41736172185622167,12.349898388421947,0.1267557362540046,2.9166303454730564
onenas_8isl,set3,44,2022-24,banded25,15.169966045278274,0.3038443546102545,19.72814061061678,0.12405650875251052,2.8239186280116644
onenas_8isl,set3,44,2020-24,sleeves_reg,23.82276294580145,0.3138444671972699,27.698016091390187,0.1287289069246844,5.843291332981478
onenas_8isl,set3,44,2020-24,banded25,36.87744296723088,0.37786479141560547,27.562864191144133,0.13054032398601847,6.079318676931226
onenas_8isl,set4,42,2022-24,sleeves_reg,48.42977116828417,1.70287896458387,6.784014295252751,0.11773124252269497,2.7602272574781406
onenas_8isl,set4,42,2022-24,banded25,58.2213304171281,1.5760354907295917,8.919330545748979,0.09164871564078171,2.119982827267502
onenas_8isl,set4,42,2020-24,sleeves_reg,74.40130137353083,1.334083514115531,11.222436590006883,0.11981483217120309,5.47237920766185
onenas_8isl,set4,42,2020-24,banded25,97.87871150835211,1.2765450914369008,9.485629206885825,0.09827322457810611,5.016569177260932
onenas_8isl,set4,43,2022-24,sleeves_reg,13.752832784202493,0.6048151801423034,8.754291771529752,0.14704922450379837,3.4689902204399825
onenas_8isl,set4,43,2022-24,banded25,47.45138873148828,1.2585030335074723,7.85666645513685,0.2820819842627398,7.027747407163585
onenas_8isl,set4,43,2020-24,sleeves_reg,27.371689052980386,0.48855029083933993,18.55463693330065,0.13978364068538882,6.341705071999366
onenas_8isl,set4,43,2020-24,banded25,56.76965381490013,0.7613953069318268,23.73310069074501,0.20319980320285652,9.273436093970428
onenas_8isl,set4,44,2022-24,sleeves_reg,45.54082434807758,1.4179427638039699,8.29367968245596,0.09890056677840453,2.273651755073634
onenas_8isl,set4,44,2022-24,banded25,58.294075217418886,1.6130099126181243,9.9901958822741,0.047660535199604316,1.1030660812848025
onenas_8isl,set4,44,2020-24,sleeves_reg,61.06302729733495,0.9600411867249632,22.434376148325452,0.10469097174104837,4.7834527376766
onenas_8isl,set4,44,2020-24,banded25,77.72597604459934,1.0888590132875142,12.39852432873747,0.05547701314122039,2.89275444165977
onenas_8isl,set1,45,2022-24,sleeves_reg,18.39190980898764,0.5460981908669892,11.93810909531384,0.1246504789429269,2.9100641624442347
onenas_8isl,set1,45,2022-24,banded25,14.702168513200634,0.33932551469871686,10.78311459157573,0.10184898048196678,2.4202967206160007
onenas_8isl,set1,45,2020-24,sleeves_reg,47.491979093092915,0.7433410991642272,15.499253246959393,0.12454076981307852,5.669593222300854
onenas_8isl,set1,45,2020-24,banded25,49.11571184147105,0.5750813477067516,18.58594906091691,0.11121754814336972,5.560480480608145
onenas_8isl,set1,46,2022-24,sleeves_reg,18.247428900173933,0.4380867286612713,10.420250627320753,0.12306592503327594,2.808831673021719
onenas_8isl,set1,46,2022-24,banded25,7.434640316551394,0.1565249677271836,19.85873282514124,0.08779422391400306,1.966270261132464
onenas_8isl,set1,46,2020-24,sleeves_reg,28.702928718967115,0.3763914187350759,28.294370590509914,0.12195526461897757,5.61022429879681
onenas_8isl,set1,46,2020-24,banded25,7.448293496849817,0.08406698868306482,21.454049386789396,0.08167429067377682,3.947309410784022
onenas_8isl,set1,47,2022-24,sleeves_reg,12.126399703998864,0.2934324697863748,12.994987221789525,0.10294933539595887,2.386063014265421
onenas_8isl,set1,47,2022-24,banded25,9.96645885090407,0.21863772980916668,15.193394064078342,0.05031714996995488,1.1356641293554646
onenas_8isl,set1,47,2020-24,sleeves_reg,-0.8619036842677695,-0.011990004645831966,36.74410714161802,0.10649884959979855,5.048662211511006
