arm,panel,seed,rank_ic,net_pct,sharpe,mdd_pct,n_days
hp_C0,set1,42,0.01967075741667831,48.79456188721336,1.6470891494353699,13.99248080041112,755
hp_C0,set1,43,0.01820650394366857,48.81299384140044,1.4846158802549225,12.999340550839886,755
hp_C0,set1,44,0.016500605308336795,45.042726345681395,1.778966492482785,6.073163464850253,755
hp_C0,set2,42,0.021470384441372236,2.1494576898308506,0.10277252198452988,8.27971879909441,752
hp_C0,set2,43,0.014542614298702707,3.2965870798986234,0.1663180236221079,11.722122003180072,752
hp_C0,set2,44,0.012791000651639628,-8.659661040600167,-0.34707654586269304,17.554303129258393,752
hp_W1_S1_icgated,set1,42,0.0004878854434086307,13.830639449721504,0.3904851480496485,22.11848960528491,755
hp_W1_S1_icgated,set1,43,0.01880314541434133,38.5718861029321,1.1126834287719587,21.465309453409606,755
hp_W1_S1_icgated,set1,44,0.016310683063104556,25.956189807201696,0.7001656237101559,22.507680384596103,755
hp_W1_S1_icgated,set2,42,0.017543277451691906,-10.846825665048902,-0.4317911638867019,18.63726950715747,752
hp_W1_S1_icgated,set2,43,0.020824418921920624,-3.4518863352583833,-0.16640728834174665,13.143815770281506,752
hp_W1_S1_icgated,set2,44,0.018062744830094696,-1.523002933285019,-0.05444145242045975,16.16950671462329,752
hp_W1_S2_ic,set1,42,0.013580001025974597,2.789780522112399,0.09296967640858494,24.155975933641727,755
hp_W1_S2_ic,set1,43,0.011306933358019229,14.04294555061144,0.411199978895166,23.605625706567317,755
hp_W1_S2_ic,set1,44,0.013295923231437409,10.173740019284537,0.34806542109509064,21.027429454110372,755
hp_W1_S2_ic,set2,42,0.01479888458045588,-14.15435654602201,-0.6247976179576399,24.115727238602215,752
hp_W1_S2_ic,set2,43,0.01584668183827683,-12.037050342372897,-0.4405763061566268,24.4134438554391,752
hp_W1_S2_ic,set2,44,0.020607190015432528,-9.466254369391331,-0.3526125154921355,18.540269805902483,752
hp_W1_T1_cs5,set1,42,0.019110818198347188,43.23235045919108,1.4186600283907955,12.139520568140917,755
hp_W1_T1_cs5,set1,43,0.022386211581142915,64.95879526859429,2.075032612333193,10.54715598116675,755
hp_W1_T1_cs5,set1,44,0.020361872079316563,38.782383390705796,1.164817612759548,14.150273351758305,755
hp_W1_T1_cs5,set2,42,0.011795183682285925,20.61604388251163,0.7056582389888026,13.386625685324628,752
hp_W1_T1_cs5,set2,43,0.007845124418263178,10.857190730433723,0.36861645779767593,14.55191574358915,752
hp_W1_T1_cs5,set2,44,0.008394024959268876,9.610991296604748,0.29514827701473384,21.880568811026336,752
hp_W1_TS_cs5_icg,set1,42,0.01523949618037956,40.31399267030272,1.0662039043304596,21.586291815305284,755
hp_W1_TS_cs5_icg,set1,43,0.011579257870745737,31.445585886614925,0.8786702211070041,19.431426689770756,755
hp_W1_TS_cs5_icg,set1,44,0.009853052634197019,21.24696898306187,0.5838110782755871,19.908977721469455,755
hp_W1_TS_cs5_icg,set2,42,0.004151136202142829,19.503729040026872,0.5775575829230242,15.986506453225276,752
hp_W1_TS_cs5_icg,set2,43,0.008746550764102133,29.391123884369392,0.8801315274871682,12.942700048255299,752
hp_W1_TS_cs5_icg,set2,44,0.0036130809779245316,19.181536859217008,0.6032124077896717,16.11958042259157,752
hp_W2_F1_repop25,set1,42,0.017726773474452676,30.843603212016173,0.9694239133186924,16.374329921878683,755
hp_W2_F1_repop25,set1,43,0.01801965056470144,59.28963225488387,1.8075175997124828,16.97512006931772,755
hp_W2_F1_repop25,set1,44,0.01818686541454491,27.139373014822688,0.8191213893500106,14.602731082066015,755
hp_W2_F1_repop25,set2,42,0.022426072548766097,9.402629538214091,0.376520204181316,13.190174910085542,752
hp_W2_F1_repop25,set2,43,0.001951810258827622,-8.59529300521419,-0.30215909226369486,16.12517633354384,752
hp_W2_F1_repop25,set2,44,0.012167113360183252,0.7502811751863112,0.027693301942151374,17.085959711727032,752
hp_W2_F2_repop100,set1,42,0.019476390298497438,52.429230935131244,1.5985571625033732,14.450376714935842,755
hp_W2_F2_repop100,set1,43,0.013760524519006065,45.42782346024911,1.5518035826749974,13.361639466003982,755
hp_W2_F2_repop100,set1,44,0.01403188709341246,50.76587843889321,1.6690190567600565,11.660790097295912,755
hp_W2_F2_repop100,set2,42,0.018256969318834415,8.949457809608703,0.33769311965391735,11.970859237689577,752
hp_W2_F2_repop100,set2,43,0.01578883365568321,13.997532066754653,0.5166334221787307,10.382487411357289,752
