generation,val_mse
0,0.969796560964789
1,0.9682640086795072
2,0.9696169236988107
3,0.9743713446929009
4,0.9727874693779481
5,0.969019043941641
6,0.9664554941729819
7,0.966972174657354
8,0.9653098600843157
9,0.9655505950775476
10,0.9666435219436526
11,0.9673544287413461
12,0.9711843410065654
13,0.9705523189154711
14,0.9708618082050348
15,0.9685431799212186
16,0.9688708977486271
17,0.9700162713331751
18,0.9742502266672283
19,0.9787451706266014
20,0.9843993851163825
21,0.9740349315397331
22,0.9707651194291412
23,0.972471506557459
24,0.9722439583179181
25,0.9735593995235925
26,0.973267245471012
27,0.9736054317428842
28,0.9737673521054181
29,0.9733266845650337
30,0.975234411040726
31,0.9759962359999924
32,0.9772050441819501
33,0.9762378559333275
34,0.9711031374986644
35,0.9674569385971141
36,0.9671476697582202
37,0.9689571324043897
38,0.96857747994516
39,0.9680601405997392
40,0.9679766088837092
41,0.9653254764661694
42,0.9677110081076665
43,0.9730345054532067
44,0.9689364044208937
45,0.9778950182866394
46,0.9741050593640812
47,0.9737120327706394
48,0.9746305946443417
49,0.9732765656823654
50,0.9719654938902968
51,0.9693206083244603
52,0.9713182155629313
53,0.9695012680708676
54,0.9739954552148209
55,0.9726956962278237
56,0.9732430124240061
57,0.9705636965496223
58,0.9749303703488802
59,0.9678586485359743
60,0.9667001887777785
61,0.9673030933897306
62,0.9708702398925465
63,0.9683739210029574
64,0.9740967743956563
65,0.9732373365223628
66,0.9780727568407672
67,0.977853436215989
68,0.9796418571688131
69,0.9748192740621928
70,0.9741588524702208
71,0.9746573835705987
72,0.9746638579639719
73,0.9729037355070168
74,0.9730574294719423
75,0.973567836743027
76,0.9741935630654311
77,0.9712169313067656
78,0.971749281324508
79,0.9711935113853623
80,0.9671715602010819
81,0.9659418602838411
82,0.9693560401243081
83,0.970019735717746
84,0.9704707394404591
85,0.9717074361095042
86,0.9752337692586672
87,0.9753633037782224
88,0.9772117247596739
89,0.9740226382477838
90,0.9729781909265514
91,0.9736980272003484
92,0.9684272977513819
93,0.9713676856193433
94,0.9683492279907525
95,0.9714450222154332
96,0.9758377877253727
97,0.973672471558606
98,1.8809451670069826
99,0.9697540852740282
100,0.9703731380019771
101,0.9698808686423059
102,0.9699068813055193
103,0.9734194561890852
104,0.9753009308629574
105,0.9772807748344889
106,0.9732513951634344
107,0.9726635294915459
108,0.9754546453349804
109,0.9757876802971271
110,0.9738920136871273
111,0.9740084748148954
112,0.9748111599023193
113,0.9726172042492656
114,0.9660728286666738
115,0.9646626781934683
116,0.9603806309399007
117,0.9676493916810848
118,0.970397491507932
119,0.9711006729433662
120,0.9722896889048961
121,0.9743435508638385
122,0.9749846972596302
123,0.970537568155652
124,0.972130768797306
125,0.9729702908966013
126,1.9748150167654328
127,0.9752397649941211
128,0.9769440160759212
129,0.9749781006658954
130,0.9731998799202981
131,0.974568328642215
132,0.9718088719131939
133,0.9720953034588651
134,0.9747938411402487
