generation,val_mse
0,0.9709485152747115
1,0.9709258104494439
2,0.9729276668818876
3,0.9731679772613366
4,0.974150381454479
5,0.973891886729583
6,0.9705927780476938
7,0.9702909788593199
8,0.9668757629655911
9,0.9680220712340559
10,0.9681750783811777
11,0.9707708822447466
12,0.9730250769973938
13,0.9741617707867057
14,0.9741059940941729
15,0.973505892069547
16,0.9704862489701773
17,0.9707452743362786
18,0.9699105427039894
19,0.9709052935889856
20,0.971869823181631
21,0.9746812135469234
22,0.9773734353596732
23,0.9723451777877381
24,0.9723460621380695
25,0.9709923145953049
26,0.9679533159014055
27,0.9666867166620715
28,0.9657350055717643
29,0.9680179504075133
30,0.9677214657128522
31,0.9739895531267628
32,0.9766429316804003
33,0.9758302529501776
34,0.9746252221143828
35,0.9759535352474181
36,0.9738060754076769
37,0.9722306867953059
38,0.9718376251597743
39,0.9701430834317732
40,1.974904670507497
41,0.9662393022090817
42,0.9667819787705936
43,0.9722357460575239
44,0.9706253254828905
45,0.9736622939950734
46,0.9758656833433023
47,0.9787677961434432
48,0.9740475953951248
49,1.9528411136440453
50,1.9427650733258794
51,0.9668445178940476
52,0.9676645263183293
53,0.9694569875602329
54,0.9682861928491034
55,0.9770536715704464
56,0.9745331879711296
57,0.9750966789752514
58,0.9755253422012735
59,0.9656559900942698
60,0.9735268677350719
61,0.9730165358389364
62,0.9722498786047223
63,0.9716348389011836
64,0.9732939212250099
65,0.9723500855679488
66,0.9772276345936987
67,0.978799768708765
68,0.9710190522329081
69,0.9716071645551865
70,0.969550563312105
71,0.973321667657916
72,0.9755239220244543
73,0.9741351537938279
74,0.973410388570745
75,0.9670499877844807
76,0.9728070635265458
77,0.9714041464853818
78,0.9716385438688591
79,0.973037602210149
80,0.9665375091191875
81,0.9704224137677822
82,0.974535114504074
83,1.9748679820123545
84,0.9687484672018477
85,1.7547330515144746
86,0.9748535262048279
87,0.976737595053552
88,0.9731632085846887
89,0.9714097680474726
90,0.9744617063291563
91,0.9755941803291643
92,0.9759925900619079
93,0.9738325511386152
94,0.9754659416492601
95,0.9747317692767977
96,0.9721725658522908
97,0.9715277415776568
98,0.9662129027032271
99,0.9693753079843128
100,0.9695808113870596
101,0.9738848632180285
102,0.9688049930871688
103,0.971107234286151
104,0.9689263097258929
105,1.9749067394490212
106,0.9689266505739044
107,0.9703295657719218
108,0.9704955681419234
109,0.9757819917279986
110,0.9740681621489076
111,0.9719071329845824
112,0.9708134301229203
113,0.9668978192285564
114,0.971218644070475
115,0.975652428383531
116,0.9673358574406911
117,0.9671188584077308
118,0.9657543280415866
119,0.9664139208131686
120,0.9725824321885016
121,0.9756579279464704
122,1.9609792243811144
123,0.9735823950209579
124,0.9742040013640493
125,0.97326145531065
126,1.9507512819824044
127,0.9748351229465616
128,2.021352558583582
129,0.9748902986356578
130,0.9743856172138188
131,1.9748553531209991
132,1.9711329969130207
133,0.9746032347800825
134,0.9740331518617797
135,0.9751593114515118
136,0.9737295726484655
137,0.9735699721048692
138,1.9737564993081902
139,0.9708679487909448
140,0.9720046350558422
141,0.972538638105613
142,0.9739284294112239
143,0.9704290186485884
144,0.9720992763737022
145,0.9725385436917147
146,0.9738035894272307
147,0.9732396446302269
148,0.971434803423626
149,0.9711337128360645
150,0.9704972129105661
151,0.9718087763937963
152,0.9710455751140045
153,0.9713649703642826
154,0.9737987174959447
155,0.9705610024533134
156,0.9760079751920112
157,0.9719531735194616
158,0.9715839323649839
159,0.9700383754124066
160,0.9696785593349954
161,0.9715934217982435
162,0.9705047935901506
163,0.9706093015229821
164,0.9724674838789591
165,0.9736109172913943
166,0.9695135569378303
167,0.973007273563884
168,0.9748358181028569
169,0.9763145133582761
170,0.9752281852075798
171,0.9745294090501435
172,0.9712316455452493
173,1.9474975867037334
174,0.9714492769761885
175,0.9695942950396147
176,0.9723041682846792
177,0.9706325189368514
178,0.9702007596549349
179,0.9701307552479833
180,0.9695555227681355
181,0.96645440967116
182,0.9695688781376223
183,0.9739959137226546
184,0.9754354075750709
185,0.9746106349571216
186,0.9727102587701348
187,0.9748699508828378
188,0.975656859780505
189,0.9757925065097476
190,0.9742310122012062
191,0.9734152901606308
192,0.9729385003034877
193,0.9743073307476439
194,0.9759119489204025
195,0.9718593143588078
196,0.9723256614119753
197,0.9714306026601339
198,0.9698323556235473
199,0.9699851891532136
200,0.9751076224922701
201,0.9746198048944585
202,0.972755887849613
203,0.971001194770513
204,0.9720661546568988
205,0.9731317328190601
206,0.9718512409997192
207,0.9725034237291024
208,0.9697012505894446
209,0.9693733984726794
210,0.9703755463641491
211,0.9717993214009533
212,0.9747814097396748
213,0.9720272177648226
214,0.975832798780727
215,0.9751972574877641
216,0.9726369668551392
217,0.9727787527941117
218,0.9736225609518536
219,0.9761098568085572
220,0.971526896441159
221,0.9734376270459467
222,0.9713377680314873
223,0.9746083922935508
224,0.9724493851214356
225,0.973015567164113
226,0.9694353796619111
227,1.1273028024302312
228,0.9693831950403489
229,0.9734863524483836
230,0.9703995076886462
231,0.97181271956567
232,0.9754052411678352
233,0.9721478500226943
234,0.972333488296315
235,0.972758200367172
236,0.9702493788669969
237,0.9722983987550424
238,0.9736165592522619
239,0.9705016469641217
240,0.9710115854829888
241,0.9711273039627412
242,0.9719083741501119
243,0.9745018568746235
244,0.9739775627399284
245,0.9744501753484159
246,0.9713834168947679
247,0.9694236842677315
248,0.9685330690873263
249,0.9697512721213142
250,0.969578592759559
251,0.970426541932766
252,0.9741551839385859
253,0.9756584121898374
254,0.9756538068909001
255,1.5432320950344822
256,1.9748842341374249
257,0.9734164184305253
258,0.9724268004944551
259,0.9734702486288443
260,0.9732614141402933
261,0.9745599544343306
262,0.9748388865878824
263,0.9741856889696204
264,0.9762395654570891
265,0.9718967357233759
266,0.9724410669654745
267,0.9736282686464256
268,0.9726147780785066
269,0.972339071794093
270,0.9737159910243952
271,0.9715608834113488
272,0.9752158985988281
273,0.9753728036893899
274,0.971656423740987
275,1.974677654557184
276,1.0114995477717805
277,0.9716071340582343
278,0.9724681163006407
279,0.9673381574430989
280,0.966468087134383
281,0.969330366644886
282,0.9695724688808237
283,0.9689759045854368
284,0.9714237114290741
285,0.9699019702239737
286,0.9728721882812755
287,0.969682321708291
288,0.9720567898769179
289,0.9724886847377012
290,0.9731588480064285
291,0.9754562248250597
292,0.9739674810026004
293,0.9753301170109061
294,0.9747089953601846
295,0.9745625200157659
296,0.9730075014627521
297,0.9729126024891926
298,0.973803663102192
299,0.9740250261163406
