arm,panel,seed,source,n_days,rank_ic_1,rank_ic_se,rank_ic_t,net_pct,sharpe,mdd_pct,turnover,cost_pct
ar,set1_core7,42,results_econ_2015/ar/set1_core7_seed42/predictions.csv,1258,0.013994853931919463,0.004672825876697627,2.9949444514311514,4.387694099422972,0.13059410605846533,19.09518797349781,0.14402507061340256,4.823373597124872
ar,set2_core7,42,results_econ_2015/ar/set2_core7_seed42/predictions.csv,1258,0.0036527026699914355,0.0042038159544012365,0.8689016621118234,-7.440303956748244,-0.5238611767182678,11.077038017037392,0.14891637867859256,5.880977858015875
ar,set3_core7,42,results_econ_2015/ar/set3_core7_seed42/predictions.csv,1258,-0.00038101770449463124,0.005018455446110371,-0.07592330122008849,-17.828529851943443,-0.49867309343019584,22.39281912242748,0.14719100402661373,5.136582217097903
ar,set4_core7,42,results_econ_2015/ar/set4_core7_seed42/predictions.csv,1258,0.006691241869517074,0.005123882415124401,1.3058929396518206,-11.501725934542685,-0.27469279148669,22.440802703151437,0.13360317230294555,4.530489313428311
gru,set1_core7,42,results_econ_2015/gru/set1_core7_seed42/predictions.csv,1258,0.01140042413364388,0.005371002836825476,2.122587620970628,49.97006377326907,1.160870008756409,7.593171280717175,0.13613917168198605,4.6006222570677116
gru,set1_core7,43,results_econ_2015/gru/set1_core7_seed43/predictions.csv,1258,0.007839197702859665,0.005422536967117459,1.4456697576055193,51.06558896361971,1.0720302942247055,7.88003450166908,0.12303507871378708,4.138049292487247
gru,set1_core7,44,results_econ_2015/gru/set1_core7_seed44/predictions.csv,1258,0.010056714787016847,0.005461246099778807,1.8414688888354924,46.80237374794821,0.9780077424040443,12.635073103838357,0.12271952092497918,4.125179068622977
gru,set2_core7,42,results_econ_2015/gru/set2_core7_seed42/predictions.csv,1258,0.015301908946833608,0.004407139403244422,3.4720728224681836,1.5096698299399796,0.04645870624400363,13.831545024753483,0.15070065612140665,5.823192881761897
gru,set2_core7,43,results_econ_2015/gru/set2_core7_seed43/predictions.csv,1258,0.013478487786043231,0.004622469961238398,2.915862709561499,27.07839092034992,0.8505518930760011,6.8128753077942115,0.1536813253092328,5.863231725629225
gru,set2_core7,44,results_econ_2015/gru/set2_core7_seed44/predictions.csv,1258,0.0056672012688763216,0.004637207293350846,1.2221151461144195,13.116697448075682,0.4034520108627357,8.144089817434882,0.14739548908440112,5.735585769214543
gru,set3_core7,42,results_econ_2015/gru/set3_core7_seed42/predictions.csv,1258,0.005301450570722963,0.004582854575024775,1.1568009597368258,-17.7884853696768,-0.7485353666848891,24.614611449668207,0.15123173571917625,5.629824444075351
gru,set3_core7,43,results_econ_2015/gru/set3_core7_seed43/predictions.csv,1258,0.007328942785208869,0.004443756389077759,1.649267453819603,5.133851876905919,0.189793079925774,9.732256386925355,0.15071932323168163,5.571606338754219
gru,set3_core7,44,results_econ_2015/gru/set3_core7_seed44/predictions.csv,1258,0.006695808195894267,0.00456965208880414,1.4652774578395822,23.600458990008523,0.8873781335213524,4.792129648187494,0.14706932917338128,5.4765742524218775
gru,set4_core7,42,results_econ_2015/gru/set4_core7_seed42/predictions.csv,1258,0.020126202684374095,0.005236555211634202,3.843405038422806,37.71698291725558,0.8869522303933679,14.250943984707115,0.13326378128869573,4.457038442809162
gru,set4_core7,43,results_econ_2015/gru/set4_core7_seed43/predictions.csv,1258,0.008726645375017907,0.0052183668263905735,1.67229435287782,8.265086803131101,0.2081521123569892,12.582893025731199,0.1376867582630028,4.5278186146684
gru,set4_core7,44,results_econ_2015/gru/set4_core7_seed44/predictions.csv,1258,0.015049119516213539,0.005050211318912131,2.979898971723678,10.507855096373792,0.2938201952582134,15.28890993492592,0.1373617723893844,4.618217177190413
lstm,set1_core7,42,results_econ_2015/lstm/set1_core7_seed42/predictions.csv,1258,0.003059044934399006,0.004602767854320813,0.6646098676315711,9.696214044808745,0.3145812040365483,18.632214281498705,0.1445421779589178,5.091102122401345
